lat	lon	s_PwaveMed	s_PwaveMin	s_PwaveMax	s_PwindMed	s_PwindMin	s_PwindMax
15.0	-101.5	1.0265	-20.6321	63.2171	0.0265	0.0	-5.8621
15.0	-101.0	6.4041	-21.2942	58.2238	0.0391	0.0	-6.9371
15.0	-100.5	10.5342	-21.3918	93.808	0.0488	0.0	-6.8599
15.0	-100.0	12.9272	-14.9093	144.6458	0.048	0.0	-6.8058
15.0	-99.5	12.452	-15.1862	119.4192	0.0458	0.0	-9.3745
15.0	-99.0	13.2675	-14.5613	135.9196	0.0363	0.0	-6.6403
15.0	-98.5	13.0819	-5.4221	134.6006	0.0247	0.0	-6.0896
15.0	-98.0	12.3897	-9.7655	162.1424	0.0159	0.0	-4.2876
15.0	-97.5	10.8865	-16.1278	165.1216	0.0041	0.0	-4.3315
15.0	-97.0	11.1858	-15.2066	142.6924	-0.003	0.0	-2.2441
15.0	-96.5	8.621	-11.076	-40.7369	-0.0861	0.0	2.4032
15.0	-96.0	8.2959	-8.629	93.7881	-0.6134	0.0	8.8419
15.0	-95.5	1.2329	-8.8331	539.4563	-2.1602	0.0003	10.048
15.0	-95.0	-4.6094	-13.5867	429.1623	-3.6633	0.0	3.8921
15.0	-94.5	5.3403	-10.304	126.6835	-2.2223	0.0	2.8268
15.0	-94.0	12.854	-10.4209	-85.5453	-1.0642	0.0	-1.4119
15.0	-93.5	11.8621	-7.5569	-153.8789	-0.1586	0.0	-7.9641
15.0	-93.0	8.8915	-3.7244	55.7752	-0.0201	0.0	-5.1392
15.5	-120.0	-8.2047	-9.1734	-70.7112	1.0068	0.0037	-3.7261
15.5	-119.5	-8.855	-9.235	-71.6803	0.9623	-0.0046	-1.5881
15.5	-119.0	-7.994	-10.4646	-30.769	0.9136	-0.0032	1.3509
15.5	-118.5	-4.9065	-9.2992	-10.9037	0.8434	-0.0019	7.3701
15.5	-118.0	-6.1545	-3.4078	19.0064	0.8211	0.0013	7.521
15.5	-117.5	-9.6427	-3.09	29.0671	0.7964	0.0038	8.8384
15.5	-117.0	-9.6296	-11.0683	28.3878	0.7811	0.0055	11.5308
15.5	-116.5	-12.558	-16.905	31.928	0.7397	0.0023	11.3646
15.5	-116.0	-15.4571	-8.5607	-11.5755	0.6167	0.0015	9.2187
15.5	-115.5	-14.0169	-5.1706	-30.4453	0.5288	0.0002	4.9702
15.5	-115.0	-12.7185	-2.4122	-13.7431	0.4638	0.0004	6.7296
15.5	-114.5	-11.177	-2.5507	61.603	0.4257	0.0019	7.6957
15.5	-114.0	-13.2134	-8.7094	149.1044	0.3875	0.0011	5.6069
15.5	-113.5	-13.9437	-12.6594	133.3634	0.2739	0.0051	2.0845
15.5	-113.0	-14.1407	-11.3455	162.3519	0.2271	0.0053	1.9306
15.5	-112.5	-14.5077	-5.1686	156.4365	0.1867	0.0041	-0.1307
15.5	-112.0	-12.3681	-3.8875	94.2928	0.1561	0.0021	1.2612
15.5	-111.5	-11.2403	-6.2557	64.7401	0.1427	0.0016	-0.1749
15.5	-111.0	-10.1984	-9.1159	30.4422	0.1419	0.0003	-0.0121
15.5	-110.5	-12.1779	-8.0486	-43.6665	0.1507	-0.0004	0.5346
15.5	-110.0	-12.942	-5.6285	-105.5972	0.1529	0.0	4.2034
15.5	-109.5	-12.6868	-6.0356	-117.4028	0.1549	0.0	4.6247
15.5	-109.0	-13.9729	-0.8878	-139.3201	0.1665	0.0	1.5289
15.5	-108.5	-14.7545	-3.2739	-228.5039	0.1288	0.0	0.744
15.5	-108.0	-11.7538	-5.1423	-330.5785	0.0952	0.0	-5.4735
15.5	-107.5	-11.2931	-5.5999	-328.8072	0.092	0.0	-1.1265
15.5	-107.0	-10.7652	-6.1442	-257.9565	0.0839	0.0	-3.9562
15.5	-106.5	-9.5507	-4.6941	-201.6582	0.0784	0.0	-9.2851
15.5	-106.0	-7.9285	-5.3004	-205.9144	0.0514	0.0	-13.35
15.5	-105.5	-7.0157	-6.5008	-169.4115	0.0314	0.0	-9.4039
15.5	-105.0	-5.927	-5.722	-212.882	0.0222	0.0	-11.8016
15.5	-104.5	-5.1085	-12.56	-228.7436	0.0025	0.0	-12.4511
15.5	-104.0	-4.0763	-14.0717	-197.265	0.0064	0.0	-14.0489
15.5	-103.5	-3.6819	-13.2307	-113.6529	-0.0008	0.0	-13.1006
15.5	-103.0	-2.6264	-11.5655	-85.0374	-0.0035	0.0	-9.0075
15.5	-102.5	0.7765	-14.3823	-26.2204	0.0046	0.0	-6.9223
15.5	-102.0	3.2204	-14.0148	68.4598	0.0163	0.0	-0.2591
15.5	-101.5	5.2073	-14.2721	63.4802	0.0352	0.0	-0.1162
15.5	-101.0	11.1892	-18.5882	116.4337	0.0467	0.0	-3.1804
15.5	-100.5	13.7635	-18.2184	95.7572	0.0512	0.0	-3.577
15.5	-100.0	14.8426	-6.0739	81.3732	0.0481	0.0	-0.4215
15.5	-99.5	15.6326	-2.1555	114.1454	0.0418	0.0	-5.008
15.5	-99.0	16.0733	-2.2401	108.0851	0.0302	0.0	-7.1425
15.5	-98.5	17.0339	-2.1245	110.446	0.0203	0.0	-8.0502
15.5	-98.0	15.7786	3.1272	90.6054	-0.0041	0.0	-7.5057
15.5	-97.5	15.3369	0.5789	123.4666	-0.0308	0.0	-6.5927
15.5	-97.0	13.4396	-4.2468	150.4985	-0.0398	0.0	-6.627
15.5	-96.5	13.2911	-7.4249	98.1003	0.0045	0.0	-7.5231
15.5	-96.0	7.0075	-9.1106	-24.2792	-0.1266	0.0	1.466
15.5	-95.5	9.7349	-13.1189	135.2518	-2.218	0.0	14.5379
15.5	-95.0	-0.4818	-20.0138	431.3932	-3.3339	0.0	8.0252
15.5	-94.5	15.8604	-14.4868	-3.5534	-2.2356	0.0	2.2005
15.5	-94.0	11.8169	-10.4356	-74.4936	-1.0541	0.0	-1.2085
15.5	-93.5	12.255	-5.42	4.4742	-0.0893	0.0	-10.2752
16.0	-120.0	-10.2417	-9.8439	-46.6134	1.0019	0.0078	-2.7598
16.0	-119.5	-9.7846	-9.5621	-34.9693	0.9026	-0.0018	-2.9229
16.0	-119.0	-9.8759	-9.1742	-10.0882	0.8787	-0.0002	-0.5194
16.0	-118.5	-5.3915	-9.1885	-10.363	0.8304	0.0007	2.8616
16.0	-118.0	-7.5283	-5.1093	25.8804	0.7961	0.0	4.0714
16.0	-117.5	-10.7563	-9.3373	59.6673	0.8009	0.0016	4.6217
16.0	-117.0	-11.6301	-9.4725	70.035	0.7045	0.0066	9.5236
16.0	-116.5	-10.8877	-9.0899	81.5886	0.7045	0.015	8.0961
16.0	-116.0	-12.4602	-9.5955	30.8024	0.6504	0.0168	8.1212
16.0	-115.5	-10.3801	-9.7678	11.7866	0.5286	0.0121	5.9652
16.0	-115.0	-11.8033	-5.0094	-5.8499	0.5103	0.0049	4.4472
16.0	-114.5	-11.413	-8.0896	55.6283	0.4616	0.0032	6.8982
16.0	-114.0	-13.7845	-7.8962	148.15	0.388	0.0051	1.4095
16.0	-113.5	-11.3532	-11.885	144.1757	0.3318	0.0053	2.0008
16.0	-113.0	-9.8242	-9.6148	146.5093	0.2693	0.0035	5.1283
16.0	-112.5	-9.2552	-8.1766	132.0235	0.232	0.0046	5.1823
16.0	-112.0	-7.6534	-6.053	80.3149	0.2133	0.0022	0.5694
16.0	-111.5	-7.685	-4.3469	16.4019	0.1864	0.0015	-2.0147
16.0	-111.0	-5.8495	-2.5572	18.7491	0.1737	0.0002	0.4473
16.0	-110.5	-6.0907	-5.8565	-113.6966	0.1629	0.0002	2.4825
16.0	-110.0	-7.6229	-4.1561	-55.3706	0.1584	0.0	8.8906
16.0	-109.5	-8.7242	-4.0482	48.7805	0.1603	-0.0003	5.8204
16.0	-109.0	-11.6866	-1.2474	-66.9144	0.167	0.0	1.238
16.0	-108.5	-12.7029	-2.3596	-162.1856	0.1492	0.0	-5.1547
16.0	-108.0	-11.3216	-0.8922	-221.5448	0.1206	0.0	-8.5972
16.0	-107.5	-10.2831	-5.7214	-305.9235	0.1142	0.0	-9.6894
16.0	-107.0	-10.139	-4.6218	-275.5058	0.0826	0.0	-11.5545
16.0	-106.5	-9.4934	-3.4927	-237.768	0.0819	0.0	-15.2453
16.0	-106.0	-6.3151	-2.9362	-222.3965	0.0777	0.0	-11.9753
16.0	-105.5	-2.4845	-3.8724	-176.3162	0.0619	0.0	-9.8713
16.0	-105.0	-2.1407	-2.9463	-127.2605	0.0282	0.0	-11.6314
16.0	-104.5	-2.0281	-9.7639	-249.7958	0.016	0.0	-11.1716
16.0	-104.0	-2.365	-7.9354	-170.2871	0.0163	0.0	-11.743
16.0	-103.5	0.5213	-9.9278	-59.2747	0.0042	0.0	-12.7593
16.0	-103.0	1.6142	-6.8753	-99.5354	0.0081	0.0	-11.6585
16.0	-102.5	4.6008	-9.7642	-108.5605	0.02	0.0	-0.5905
16.0	-102.0	8.4832	-11.1508	56.9485	0.0282	0.0	-2.9998
16.0	-101.5	10.4775	-12.2261	-42.0234	0.0429	0.0	-5.2915
16.0	-101.0	12.8649	-12.4029	45.3098	0.0497	0.0	-5.9129
16.0	-100.5	16.0056	-4.1331	69.3034	0.0512	0.0	-11.3337
16.0	-100.0	16.2744	-1.1997	20.7042	0.0439	0.0	-7.5073
16.0	-99.5	15.8941	-0.8573	105.9343	0.046	0.0	-4.1353
16.0	-99.0	17.3062	-3.0109	132.7977	0.0156	0.0	-4.0291
16.0	-98.5	18.5681	-1.5501	142.2731	0.0032	0.0	-6.6985
16.0	-98.0	17.8626	-2.1198	131.4571	-0.0176	0.0	-4.2565
16.0	-95.0	5.1226	-9.0712	218.6268	-2.1162	0.0	8.6046
16.0	-94.5	6.9384	-10.0022	-61.3209	-0.7828	0.0	3.0582
16.0	-94.0	11.5796	-3.2312	25.4961	-0.1659	0.0	2.5546
16.0	-88.5	0.914	0.7163	-71.0226	-0.0164	0.0	-9.4193
16.0	-88.0	0.321	0.8563	-57.8016	-0.0153	0.0	0.5301
16.0	-87.5	1.0921	1.1416	-37.546	0.0248	0.0	2.1218
16.0	-87.0	1.1269	1.2665	-8.7403	0.0792	0.0	3.5084
16.0	-86.5	0.1787	0.739	7.221	0.0928	0.0	0.6408
16.0	-85.5	1.6998	1.5939	-183.7916	0.0157	0.0	-0.1131
16.5	-120.0	-7.1771	0.9928	-32.9097	0.8949	-0.0	-0.2925
16.5	-119.5	-7.6501	-2.1394	-10.1235	0.8189	-0.0003	1.4418
16.5	-119.0	-8.8857	-4.9073	-11.0728	0.8145	0.0054	-1.2133
16.5	-118.5	-5.0713	-8.3434	-9.3113	0.7849	0.008	-0.1848
16.5	-118.0	-10.3039	-7.1557	8.0074	0.7582	0.0004	2.0887
16.5	-117.5	-10.266	-6.9642	21.8271	0.7115	0.0005	0.3208
16.5	-117.0	-12.4616	-11.4815	91.2774	0.6618	0.0016	5.8064
16.5	-116.5	-13.5872	-12.5973	88.5052	0.6522	-0.0003	7.4155
16.5	-116.0	-10.6309	-10.1665	80.9024	0.6431	0.0024	9.4381
16.5	-115.5	-10.4968	-13.0904	37.7385	0.6228	0.0109	4.9019
16.5	-115.0	-9.4385	-6.2637	-18.6952	0.5646	0.0083	1.0266
16.5	-114.5	-9.675	-9.3615	8.9301	0.5082	0.0073	4.2887
16.5	-114.0	-10.4388	-7.1966	120.256	0.474	0.0054	2.8609
16.5	-113.5	-11.2352	-10.9846	106.7638	0.4089	0.0016	2.548
16.5	-113.0	-7.393	-11.9913	74.1324	0.3521	0.003	6.1088
16.5	-112.5	-5.6074	-4.3576	97.9306	0.3287	0.0021	3.7043
16.5	-112.0	-4.719	-5.5548	2.5529	0.2945	0.0008	-1.2443
16.5	-111.5	-2.8	-0.5913	25.056	0.2717	0.0012	3.8023
16.5	-111.0	-1.9751	1.2401	108.3772	0.2363	0.0008	2.1242
16.5	-110.5	-0.7624	4.4262	112.7989	0.2118	-0.0003	6.4067
16.5	-110.0	-3.0773	-0.4684	202.7065	0.1972	0.0	9.5264
16.5	-109.5	-3.7915	-2.339	244.5218	0.1954	0.0	8.8043
16.5	-109.0	-7.088	-0.2443	103.2995	0.178	0.0	-2.86
16.5	-108.5	-7.6402	-3.1006	-82.0369	0.1831	0.0	-9.8264
16.5	-108.0	-8.1829	-1.6711	-170.0388	0.1647	0.0	-13.7985
16.5	-107.5	-8.3784	-5.9563	-245.657	0.1457	0.0	-16.5458
16.5	-107.0	-6.9187	-4.4401	-259.4099	0.1087	0.0	-16.6559
16.5	-106.5	-6.4678	-1.8231	-322.5271	0.0874	0.0	-19.6046
16.5	-106.0	-4.47	-0.9084	-233.5997	0.0915	0.0	-17.7673
16.5	-105.5	-0.5078	-1.0577	-221.9494	0.0806	0.0	-16.9292
16.5	-105.0	1.0524	-0.1411	-179.612	0.0516	0.0	-10.7329
16.5	-104.5	0.7797	-6.4254	-150.952	0.0389	0.0	-9.9188
16.5	-104.0	1.1332	-6.6496	-104.5292	0.0447	0.0	-9.84
16.5	-103.5	1.9931	-6.8943	-58.0202	0.0363	0.0	-8.6033
16.5	-103.0	4.7297	-7.9278	-61.7349	0.0356	0.0	-3.0536
16.5	-102.5	9.1408	-7.3167	17.3533	0.0412	0.0	3.2314
16.5	-102.0	11.7845	-9.5232	99.7083	0.0388	0.0	2.2217
16.5	-101.5	13.5431	-7.1947	156.6742	0.0343	0.0	-1.468
16.5	-101.0	15.1162	-2.2962	157.4522	0.039	0.0	-3.5089
16.5	-100.5	19.1846	1.1451	161.8468	0.0385	0.0	-3.501
16.5	-100.0	17.9578	-0.9685	137.395	0.0434	0.0	-3.132
16.5	-99.5	16.2392	-2.2128	139.3734	0.0117	0.0	-2.0438
16.5	-99.0	15.8225	-0.1843	135.5861	0.0013	0.0	-1.4953
16.5	-88.0	1.4929	1.7013	-183.1959	0.0198	0.0	-17.3669
16.5	-87.5	1.8892	2.4879	-175.5592	0.0672	0.0	-10.3715
16.5	-87.0	2.9672	2.2891	-150.4771	0.1559	0.0	-7.5643
16.5	-86.5	3.7782	2.7211	-172.4875	0.2203	0.0002	-3.6008
16.5	-86.0	5.8416	3.4916	-199.9543	0.1302	0.0	-1.7268
16.5	-85.5	6.7349	4.2215	-269.1961	0.129	0.0	-1.0878
16.5	-85.0	6.7687	4.2165	-322.941	0.1971	-0.0005	-2.7507
17.0	-120.0	-7.4942	1.9198	-2.1204	0.8749	-0.0007	0.8452
17.0	-119.5	-8.816	-0.0637	10.8919	0.77	-0.0004	3.8943
17.0	-119.0	-8.5935	-1.6401	37.4679	0.7113	0.0006	2.9358
17.0	-118.5	-6.7206	-2.4787	38.2891	0.731	0.0015	2.3946
17.0	-118.0	-8.8365	-3.6088	68.3507	0.703	0.0047	5.1834
17.0	-117.5	-10.61	-5.0049	80.7654	0.6215	0.0002	2.1069
17.0	-117.0	-11.6817	-9.4834	71.7138	0.628	-0.0031	1.3991
17.0	-116.5	-11.6479	-14.7963	51.9459	0.5812	-0.0011	2.6451
17.0	-116.0	-10.1677	-9.7681	64.3562	0.5365	0.0011	6.4984
17.0	-115.5	-7.1164	-15.2405	16.762	0.5713	0.0	4.2412
17.0	-115.0	-7.9377	-8.7466	-1.1258	0.5779	-0.0006	-2.933
