lat	lon
22	-113.5
22	-113
22	-112.5
22	-112
22	-111.5
22	-111
22	-110.5
22	-110
22	-109.5
22	-109
22	-108.5
22	-108
22	-107.5
22	-107
22	-106.5
22	-106
22	-97.5
22	-97
22	-96.5
22	-96
22	-95.5
22	-95
22	-94.5
22	-94
22	-93.5
22	-93
22	-92.5
22	-92
22	-91.5
22	-91
22	-90.5
22	-90
22	-89.5
22	-89
22	-88.5
22	-88
22	-87.5
22	-87
22	-86.5
22	-86
22	-85.5
22	-85
22.5	-120
22.5	-119.5
22.5	-119
22.5	-118.5
22.5	-118
22.5	-117.5
22.5	-117
22.5	-116.5
22.5	-116
22.5	-115.5
22.5	-115
22.5	-114.5
22.5	-114
22.5	-113.5
22.5	-113
22.5	-112.5
22.5	-112
22.5	-111.5
22.5	-111
22.5	-110.5
22.5	-110
22.5	-109.5
22.5	-109
22.5	-108.5
22.5	-108
22.5	-107.5
22.5	-107
22.5	-106.5
22.5	-106
22.5	-97.5
22.5	-97
22.5	-96.5
22.5	-96
22.5	-95.5
22.5	-95
22.5	-94.5
22.5	-94
22.5	-93.5
22.5	-93
22.5	-92.5
22.5	-92
22.5	-91.5
22.5	-91
22.5	-90.5
22.5	-90
22.5	-89.5
22.5	-89
22.5	-88.5
22.5	-88
22.5	-87.5
22.5	-87
22.5	-86.5
22.5	-86
22.5	-85.5
22.5	-85
23	-120
23	-119.5
23	-119
23	-118.5
23	-118
23	-117.5
23	-117
23	-116.5
23	-116
23	-115.5
23	-115
23	-114.5
23	-114
23	-113.5
23	-113
23	-112.5
23	-112
23	-111.5
23	-111
23	-110.5
23	-109.5
23	-109
23	-108.5
23	-108
23	-107.5
23	-107
23	-106.5
23	-97.5
23	-97
23	-96.5
23	-96
23	-95.5
23	-95
23	-94.5
23	-94
23	-93.5
23	-93
23	-92.5
23	-92
23	-91.5
23	-91
23	-90.5
23	-90
23	-89.5
23	-89
23	-88.5
23	-88
23	-87.5
23	-87
23	-86.5
23	-86
23	-85.5
23	-85
23.5	-120
23.5	-119.5
23.5	-119
23.5	-118.5
23.5	-118
23.5	-117.5
23.5	-117
23.5	-116.5
23.5	-116
23.5	-115.5
23.5	-115
23.5	-114.5
23.5	-114
23.5	-113.5
23.5	-113
23.5	-112.5
23.5	-112
23.5	-111.5
23.5	-111
23.5	-110.5
23.5	-109
23.5	-108.5
23.5	-108
23.5	-107.5
23.5	-107
23.5	-97.5
23.5	-97
23.5	-96.5
23.5	-96
23.5	-95.5
23.5	-95
23.5	-94.5
23.5	-94
23.5	-93.5
23.5	-93
23.5	-92.5
23.5	-92
23.5	-91.5
23.5	-91
23.5	-90.5
23.5	-90
23.5	-89.5
23.5	-89
23.5	-88.5
23.5	-88
23.5	-87.5
23.5	-87
23.5	-86.5
23.5	-86
23.5	-85.5
23.5	-85
24	-120
24	-119.5
24	-119
24	-118.5
24	-118
24	-117.5
24	-117
24	-116.5
24	-116
24	-115.5
24	-115
24	-114.5
24	-114
24	-113.5
24	-113
24	-112.5
24	-112
24	-111.5
24	-111
24	-109.5
24	-109
24	-108.5
24	-108
24	-107.5
24	-97.5
24	-97
24	-96.5
24	-96
24	-95.5
24	-95
24	-94.5
24	-94
24	-93.5
24	-93
24	-92.5
24	-92
24	-91.5
24	-91
24	-90.5
24	-90
24	-89.5
24	-89
24	-88.5
24	-88
24	-87.5
24	-87
24	-86.5
24	-86
24	-85.5
24	-85
24.5	-120
24.5	-119.5
24.5	-119
24.5	-118.5
24.5	-118
24.5	-117.5
24.5	-117
24.5	-116.5
24.5	-116
24.5	-115.5
24.5	-115
24.5	-114.5
24.5	-114
24.5	-113.5
24.5	-113
24.5	-112.5
24.5	-112
24.5	-110.5
24.5	-110
24.5	-109.5
24.5	-109
24.5	-108.5
24.5	-108
24.5	-97.5
24.5	-97
24.5	-96.5
24.5	-96
24.5	-95.5
24.5	-95
24.5	-94.5
24.5	-94
24.5	-93.5
24.5	-93
24.5	-92.5
24.5	-92
24.5	-91.5
24.5	-91
24.5	-90.5
24.5	-90
24.5	-89.5
24.5	-89
24.5	-88.5
24.5	-88
24.5	-87.5
24.5	-87
24.5	-86.5
24.5	-86
24.5	-85.5
24.5	-85
25	-120
25	-119.5
25	-119
25	-118.5
25	-118
25	-117.5
25	-117
25	-116.5
25	-116
25	-115.5
25	-115
25	-114.5
25	-114
25	-113.5
25	-113
25	-112.5
25	-110.5
25	-110
25	-109.5
25	-109
25	-108.5
25	-97.5
25	-97
25	-96.5
25	-96
25	-95.5
25	-95
25	-94.5
25	-94
25	-93.5
25	-93
25	-92.5
25	-92
25	-91.5
25	-91
25	-90.5
25	-90
25	-89.5
25	-89
25	-88.5
25	-88
25	-87.5
25	-87
25	-86.5
25	-86
25	-85.5
25	-85
25.5	-120
25.5	-119.5
25.5	-119
25.5	-118.5
25.5	-118
25.5	-117.5
25.5	-117
25.5	-116.5
25.5	-116
25.5	-115.5
25.5	-115
25.5	-114.5
25.5	-114
25.5	-113.5
25.5	-113
25.5	-112.5
25.5	-111
25.5	-110.5
25.5	-110
25.5	-109.5
25.5	-97
25.5	-96.5
25.5	-96
25.5	-95.5
25.5	-95
25.5	-94.5
25.5	-94
25.5	-93.5
25.5	-93
25.5	-92.5
25.5	-92
25.5	-91.5
25.5	-91
25.5	-90.5
25.5	-90
25.5	-89.5
25.5	-89
25.5	-88.5
25.5	-88
25.5	-87.5
25.5	-87
25.5	-86.5
25.5	-86
25.5	-85.5
25.5	-85
26	-120
26	-119.5
26	-119
26	-118.5
26	-118
26	-117.5
26	-117
26	-116.5
26	-116
26	-115.5
26	-115
26	-114.5
26	-114
26	-113.5
26	-113
26	-112.5
26	-111
26	-110.5
26	-110
26	-109.5
26	-97
26	-96.5
26	-96
26	-95.5
26	-95
26	-94.5
26	-94
26	-93.5
26	-93
26	-92.5
26	-92
26	-91.5
26	-91
26	-90.5
26	-90
26	-89.5
26	-89
26	-88.5
26	-88
26	-87.5
26	-87
26	-86.5
26	-86
26	-85.5
26	-85
26.5	-120
26.5	-119.5
26.5	-119
26.5	-118.5
26.5	-118
26.5	-117.5
26.5	-117
26.5	-116.5
26.5	-116
26.5	-115.5
26.5	-115
26.5	-114.5
26.5	-114
26.5	-113.5
26.5	-113
26.5	-111
26.5	-110.5
26.5	-110
26.5	-109.5
26.5	-97
26.5	-96.5
26.5	-96
