lat	lon	PwaveProm	PwaveS	PwaveCV	PwaveMed	PwaveMax	PwaveMin	PwindProm	PwindS	PwindCV	PwindMed	PwindMax	PwindMin
30.0	-114.0	2.1944	4.49	204.74	0.5252	28.8197	0.0061	0.2171	0.31	143.14	0.0858	1.6784	0.0

30.0	-113.5	2.1577	4.17	193.14	0.6024	29.6736	0.011	0.1961	0.26	135.07	0.0997	1.4968	0.0

30.0	-113.0	1.6815	3.08	183.01	0.5556	26.2471	0.013	0.1475	0.22	146.18	0.0663	2.2929	0.0

30.0	-89.0	1.1998	1.63	135.56	0.6013	14.9728	0.0175	0.1926	0.24	126.72	0.1022	2.326	0.0

30.0	-88.5	1.9463	2.62	134.67	0.9422	21.24	0.0409	0.2152	0.26	122.39	0.113	1.9073	0.0

30.0	-88.0	2.4758	3.43	138.71	1.1142	28.1231	0.0421	0.2281	0.28	123.36	0.1138	1.8518	0.0001

30.0	-87.5	2.664	3.77	141.51	1.174	38.3868	0.047	0.2385	0.29	121.48	0.1248	1.9181	0.0

30.0	-87.0	2.8744	4.16	144.63	1.2663	43.021	0.0532	0.2565	0.31	120.84	0.1379	2.3203	0.0

30.0	-86.5	2.7231	3.99	146.38	1.2305	41.6056	0.0478	0.2578	0.31	119.87	0.1421	2.3365	0.0

30.0	-86.0	1.9663	2.97	151.01	0.9261	27.3955	0.0282	0.2279	0.28	123.9	0.1233	2.262	0.0

30.5	-120.0	32.4546	26.97	83.1	22.1666	133.5027	5.6566	0.2028	0.26	127.99	0.1092	2.0395	0.0

30.5	-119.5	30.8429	25.66	83.21	21.0757	127.7087	5.2569	0.1808	0.24	131.01	0.094	1.7826	0.0

30.5	-119.0	29.1231	24.12	82.81	19.8196	123.6369	4.9677	0.1645	0.22	134.27	0.0858	1.5824	0.0

30.5	-118.5	27.21	22.46	82.53	18.2726	122.7771	4.6955	0.1522	0.2	133.88	0.0842	1.6184	0.0

30.5	-118.0	25.2788	20.67	81.79	16.965	115.6769	4.4853	0.1368	0.18	133.03	0.0756	1.4313	0.0

30.5	-117.5	23.7922	18.85	79.23	16.5459	108.7028	4.1424	0.1292	0.17	131.57	0.0733	1.5253	0.0

30.5	-117.0	21.9882	17.0	77.3	15.4697	97.0015	3.7555	0.1272	0.16	126.92	0.0783	1.6523	0.0

30.5	-116.5	18.9158	14.38	76.02	13.5558	86.5437	3.1995	0.126	0.17	131.57	0.0748	1.7181	0.0

30.5	-114.5	1.6988	3.31	195.01	0.4132	22.6372	0.0024	0.2053	0.31	151.41	0.0761	1.7039	0.0

30.5	-114.0	2.497	4.42	177.02	0.6774	27.0314	0.0073	0.2777	0.36	130.96	0.1192	1.8655	0.0

30.5	-113.5	2.1715	3.79	174.72	0.6411	30.464	0.0102	0.2276	0.31	135.46	0.101	2.1214	0.0

30.5	-113.0	1.5596	2.9	185.91	0.4594	36.7184	0.0078	0.1233	0.22	178.68	0.0362	2.8159	0.0

31.0	-120.0	32.6635	27.38	83.83	22.0821	132.217	5.7363	0.2155	0.28	129.83	0.1141	2.8309	0.0

31.0	-119.5	30.642	25.74	83.99	20.5352	125.7199	5.3632	0.1879	0.25	134.71	0.0953	2.2732	0.0

31.0	-119.0	28.5489	23.9	83.71	19.1919	124.8986	5.0115	0.1684	0.23	138.31	0.0823	1.8281	0.0

31.0	-118.5	26.3439	21.82	82.82	17.7183	121.0715	4.6428	0.1457	0.21	140.82	0.0749	1.6111	0.0

31.0	-118.0	24.0488	19.6	81.49	16.1908	112.5642	4.3234	0.1282	0.18	140.94	0.0663	1.4994	0.0

31.0	-117.5	21.8943	17.41	79.52	15.0724	103.0007	4.0285	0.1128	0.15	137.09	0.061	1.3969	0.0

31.0	-117.0	19.4389	15.01	77.23	13.6198	87.2263	3.5704	0.1071	0.14	129.42	0.0631	1.4098	0.0

31.0	-116.5	15.511	11.83	76.25	10.9875	68.3809	2.7939	0.0887	0.12	140.83	0.0483	1.4298	0.0

31.0	-114.5	1.4999	2.85	190.02	0.3772	20.9273	0.0027	0.2121	0.31	145.85	0.0802	2.0471	0.0

31.0	-114.0	1.8627	3.52	188.85	0.5402	31.3805	0.0045	0.2332	0.32	136.38	0.1026	2.4497	0.0

31.0	-113.5	1.5063	3.21	213.38	0.4082	38.4097	0.0051	0.1817	0.29	158.52	0.0705	2.8239	0.0

31.5	-120.0	32.4874	27.5	84.66	21.9016	131.116	4.9635	0.2276	0.29	128.69	0.1242	2.8603	0.0

31.5	-119.5	30.1677	25.6	84.87	20.0968	135.5265	4.6914	0.1963	0.27	136.12	0.0976	2.4551	0.0

31.5	-119.0	27.7005	23.32	84.19	18.4122	136.9747	4.288	0.17	0.24	143.96	0.0792	2.1242	0.0

31.5	-118.5	24.7462	20.71	83.7	16.5001	128.781	4.238	0.1389	0.21	149.43	0.0653	1.6035	0.0

31.5	-118.0	21.848	17.91	81.99	14.7488	113.1276	3.914	0.1105	0.17	151.62	0.051	1.4153	0.0

31.5	-117.5	19.0099	14.81	77.9	13.4155	96.0439	3.6051	0.0855	0.13	152.08	0.0422	1.1215	0.0

31.5	-117.0	16.214	12.14	74.87	11.7877	77.5602	3.1576	0.0659	0.09	141.54	0.0362	0.8161	0.0

31.5	-114.5	0.5529	1.47	265.36	0.141	21.5399	0.0028	0.1436	0.23	159.21	0.0594	2.5931	0.0

32.0	-120.0	32.1319	27.51	85.61	21.4389	137.0959	4.9076	0.2393	0.31	129.74	0.1245	2.4977	0.0

32.0	-119.5	29.1439	24.77	84.98	19.5993	142.2992	4.5736	0.2032	0.29	140.49	0.0898	2.2099	0.0

32.0	-119.0	25.6012	21.39	83.53	17.1758	140.4857	4.055	0.1638	0.25	152.49	0.0668	1.8032	0.0

32.0	-118.5	21.9238	17.58	80.2	15.097	125.233	3.4481	0.1258	0.2	162.02	0.0501	1.6768	0.0

32.0	-118.0	18.461	14.44	78.21	13.075	108.1236	3.4104	0.0894	0.15	172.55	0.0354	1.2608	0.0

32.0	-117.5	15.4448	11.62	75.26	11.3318	83.7918	3.1304	0.0621	0.11	175.56	0.026	0.962	0.0

32.0	-117.0	13.8282	10.14	73.32	10.27	71.7914	2.7537	0.0329	0.05	164.05	0.0153	0.6596	0.0

32.5	-120.0	30.9816	26.65	86.01	20.6532	143.6164	4.5613	0.2507	0.33	132.67	0.1223	2.4179	0.0

32.5	-119.5	26.8245	23.03	85.85	17.9828	141.4406	4.0485	0.2062	0.31	150.32	0.0816	2.1847	0.0

32.5	-119.0	21.827	17.98	82.37	14.9196	128.9929	3.3354	0.1534	0.26	168.3	0.0518	1.9132	0.0

