lat	lon	cMin	cMed	cMax
22.0	-90.0	7	1	4
22.0	-89.5	7	1	4
22.0	-89.0	7	1	4
22.0	-88.5	7	1	4
22.0	-88.0	7	1	4
22.0	-87.5	7	1	4
22.0	-87.0	7	1	4
22.0	-86.5	7	1	4
22.0	-86.0	7	1	4
22.0	-85.5	7	1	4
22.0	-85.0	7	1	4
22.5	-120.0	5	2	3
22.5	-119.5	5	2	3
22.5	-119.0	5	2	3
22.5	-118.5	5	2	3
22.5	-118.0	5	2	3
22.5	-117.5	1	2	2
22.5	-117.0	1	2	2
22.5	-116.5	5	2	2
22.5	-116.0	5	2	2
22.5	-115.5	1	2	2
22.5	-115.0	5	2	2
22.5	-114.5	1	2	2
22.5	-114.0	5	2	2
22.5	-113.5	1	2	2
22.5	-113.0	1	2	2
22.5	-112.5	1	2	2
22.5	-112.0	5	2	2
22.5	-111.5	5	2	2
22.5	-111.0	5	2	2
22.5	-110.5	4	2	2
22.5	-110.0	5	2	2
22.5	-109.5	1	1	2
22.5	-109.0	5	1	2
22.5	-108.5	5	1	2
22.5	-108.0	5	1	5
22.5	-107.5	1	1	5
22.5	-107.0	5	1	2
22.5	-106.5	1	1	2
22.5	-106.0	1	1	2
22.5	-97.5	7	1	1
22.5	-97.0	7	1	1
22.5	-96.5	7	1	1
22.5	-96.0	7	1	1
22.5	-95.5	7	1	1
22.5	-95.0	7	1	1
22.5	-94.5	7	1	1
22.5	-94.0	7	1	1
22.5	-93.5	7	1	1
22.5	-93.0	7	1	1
22.5	-92.5	7	1	1
22.5	-92.0	7	1	1
22.5	-91.5	7	1	1
22.5	-91.0	7	1	1
22.5	-90.5	7	1	4
22.5	-90.0	7	1	4
22.5	-89.5	7	1	4
22.5	-89.0	7	1	4
22.5	-88.5	7	1	4
22.5	-88.0	7	1	4
22.5	-87.5	7	1	4
22.5	-87.0	7	1	4
22.5	-86.5	7	1	4
22.5	-86.0	7	1	4
22.5	-85.5	7	1	4
22.5	-85.0	7	1	4
23.0	-120.0	5	2	3
23.0	-119.5	5	2	3
23.0	-119.0	5	2	3
23.0	-118.5	5	2	3
23.0	-118.0	5	2	3
23.0	-117.5	5	2	3
23.0	-117.0	5	2	2
23.0	-116.5	5	2	2
23.0	-116.0	5	2	2
23.0	-115.5	5	2	2
23.0	-115.0	5	2	2
23.0	-114.5	5	2	2
23.0	-114.0	5	2	2
23.0	-113.5	5	2	2
23.0	-113.0	1	2	2
23.0	-112.5	1	2	2
23.0	-112.0	5	2	2
23.0	-111.5	5	2	2
23.0	-111.0	5	2	2
23.0	-110.5	5	1	2
23.0	-109.5	5	1	2
23.0	-109.0	5	1	2
23.0	-108.5	5	1	2
23.0	-108.0	1	1	2
23.0	-107.5	1	1	2
23.0	-107.0	1	1	2
23.0	-106.5	1	1	2
